Generation Number,Lineage 0 (Wx - fitness points),Lineage 1 (Wx - fitness points),Lineage 2 (Wx - fitness points),Lineage 3 (Wx - fitness points),Lineage 4 (Wx - fitness points),Lineage 5 (Wx - fitness points),Lineage 6 (Wx - fitness points),Lineage 7 (Wx - fitness points)
1032,122222222888889371990000000,222222713840000000,11111111333333923170000000,222223035110000000,11111112666667236170000000,333334175710000000,333335195440000000,222222719540000000
1033,122222222888889371990000000,222222713840000000,11111111333333922990000000,222223035110000000,11111112666667236170000000,333334175710000000,333335195440000000,222222718550000000
1034,122222222888889371860000000,222222713840000000,11111111333333922990000000,222223034850000000,11111112666667236170000000,333334175710000000,333335195440000000,222222718150000000
1035,122222222888889371860000000,222222713750000000,11111111333333922990000000,222223034850000000,11111112666667236170000000,333334175710000000,333335195440000000,222222718060000000
1036,122222222888889371410000000,222222713750000000,11111111333333922990000000,222223034850000000,11111112666667234720000000,333334175710000000,333335195440000000,222222718060000000
1037,122222222888889371410000000,222222713750000000,11111111333333922990000000,222223034850000000,11111112666667234720000000,333334175710000000,333335195440000000,222222718060000000
1038,122222222888889371410000000,222222713750000000,11111111333333922790000000,222223034850000000,11111112666667234720000000,333334175910000000,333335194350000000,222222717770000000
1039,122222222888889371410000000,222222713750000000,11111111333333922790000000,222223033780000000,11111112666667234720000000,333334175690000000,333335194350000000,222222717770000000
1040,122222222888889371410000000,222222713750000000,11111111333333922790000000,222223033780000000,11111112666667234720000000,333334175690000000,333335194350000000,222222717770000000
1041,122222222888889358910000000,222222713750000000,11111111333333922790000000,222223033780000000,11111112666667234720000000,333334175690000000,333335194350000000,222222717770000000
1042,122222222888889358910000000,222222713750000000,11111111333333922790000000,222223033780000000,11111112666667234720000000,333334175690000000,222224083380000000,222222717770000000
1043,122222222888889358910000000,222222713630000000,11111111333333922790000000,222223033370000000,11111112666667233100000000,333334175690000000,222224083380000000,222222717770000000
1044,122222222888889357510000000,222222713630000000,11111111333333922790000000,222223033250000000,11111112666667232670000000,333334173810000000,222224083190000000,222222716820000000
1045,122222222888889357510000000,222222713330000000,11111111333333922790000000,222223033250000000,11111112666667232670000000,333334173810000000,222224081790000000,222222716560000000
1046,122222222888889357510000000,222222713330000000,11111111333333922790000000,222223033250000000,11111112666667232460000000,333334173810000000,222224081920000000,222222716550000000
1047,122222222888889357510000000,222222713330000000,11111111333333922790000000,222223033240000000,11111112666667232460000000,333334163790000000,222224081340000000,222222716550000000
1048,122222222888889357510000000,222222712150000000,11111111333333922020000000,222223033240000000,11111112666667232460000000,333334162510000000,222224081710000000,222222716550000000
1049,122222222888889357510000000,222222712150000000,11111111333333922020000000,222223033140000000,11111112666667232460000000,333334151650000000,222224080940000000,222222716550000000
1050,122222222888889357510000000,222222712150000000,11111111333333923120000000,222223033140000000,11111112666667232460000000,333334150370000000,222224080940000000,222222716550000000
1051,122222222888889356200000000,222222712150000000,11111111333333812240000000,222223033140000000,11111112666667232460000000,333334150370000000,222224079470000000,222222716550000000
1052,122222222888889356200000000,222222712150000000,11111111333333812240000000,222223033220000000,11111112666667232460000000,333334150370000000,222224079470000000,222222716550000000
1053,122222222888889356200000000,222222712150000000,11111111333333812040000000,222223033130000000,11111112666667232460000000,333334150370000000,222224079470000000,222222715750000000
1054,122222222888889356200000000,222222712150000000,11111111333333812040000000,222223031500000000,11111112666667231880000000,333334150370000000,222224079470000000,222222715750000000
1055,122222222888889356200000000,222222712150000000,11111111333333812040000000,222223030400000000,11111112666667231880000000,333334150370000000,222224079470000000,222222715750000000
1056,122222222888889356200000000,222222712150000000,11111111333333811130000000,222223030400000000,11111112666667231590000000,333334149060000000,222224079470000000,222222715560000000
1057,122222222888889356200000000,222222712150000000,11111111333333809610000000,222223030400000000,11111112666667231590000000,333334149060000000,222224079340000000,222222715560000000
1058,122222222888889356200000000,222222712150000000,11111111333333809610000000,222223030400000000,11111112666667231590000000,333334149060000000,222224079340000000,222222715560000000
