Generation Number,Lineage 0 (Wx - fitness points),Lineage 1 (Wx - fitness points),Lineage 2 (Wx - fitness points),Lineage 3 (Wx - fitness points),Lineage 4 (Wx - fitness points),Lineage 5 (Wx - fitness points),Lineage 6 (Wx - fitness points),Lineage 7 (Wx - fitness points)
177,3280899192667600,2274059342416000,2245393934568000,1895468905095000,6017793789359000,2097438567829600,2741742694301000,2339831264735200
178,3260509899395000,2274059342416000,2245393934568000,1895468905095000,6015879708607000,2097438567829600,2741742694301000,2339831264735200
179,3260509899395000,2274059342416000,2244856886822400,1891674455213400,6013689848849800,2097438567829600,2741742694301000,2339831264735200
180,3260509899395000,2034286470028400,2244856886822400,1889449131364600,6013689848849800,2097438567829600,2741742694301000,2339831264735200
181,3258029893426400,2034286470028400,2244856886822400,1889449131364600,6013689848849800,2097438567829600,2741742694301000,2118586887135600
182,3256061367706400,2034286470028400,2244856886822400,1889449131364600,5992809093177600,2098148343082000,2731340085536800,2115150068511000
183,3255507890199800,2034286470028400,2244856886822400,1868151096442000,5992805502345600,2093392382232600,2731340085536800,2115150068511000
184,3255507890199800,2034286470028400,2225627783102800,1868151096442000,5992805502345600,2093392382232600,2708313995102800,2115150068511000
185,3248371445087000,2013582657802200,2225627783102800,1868151096442000,5987780929326000,2093392382232600,2705748701539000,2115150068511000
186,3248371445087000,2013582657802200,2225627783102800,1868151096442000,5987780929326000,2093392382232600,2705748701539000,2115150068511000
187,3248371445087000,2013582657802200,2225627783102800,1868151096442000,5986774489847600,2093392382232600,2705533854986800,2115150068511000
188,3250513339856400,2013582657802200,2225627783102800,1868151096442000,5981331514547400,2093392382232600,2705533854986800,2115150068511000
189,3215698512171600,2013582657802200,2225627783102800,1865764521942400,5976716455739000,2084092769874400,2705533854986800,2115150068511000
190,3200923006151200,2016294354548800,2232591634740800,1865764521942400,5976716455739000,2084092769874400,2705533854986800,2115150068511000
191,3200923006151200,1789988475118800,2205959571622800,1865764521942400,5930556388258200,2084092769874400,2705533854986800,2114606078371400
192,3200923006151200,1789988475118800,2205959571622800,1863350524109600,5930556388258200,2084092769874400,2705533854986800,2114606078371400
193,3200923006151200,1789988475118800,2205959571622800,1857847457593200,5905610333401600,2084092769874400,2705533854986800,2112275532190800
194,3200923006151200,1789988475118800,2205959571622800,1857847457593200,5905610333401600,2084092769874400,2705533854986800,2112275532190800
195,3172252346355400,1787048222264000,2205959571622800,1855018621775200,5902691994680800,2084092769874400,2679234281209400,2112275532190800
196,3172252346355400,1787048222264000,2205959571622800,1855018621775200,5902691994680800,2085705328689800,2679234281209400,2112275532190800
197,3172252346355400,1783209094602200,2205959571622800,1855018621775200,5898596840181000,2082133240429400,2659127685091800,2112275532190800
198,3172252346355400,1781098466253200,2205516637319200,1855018621775200,5895091194032400,2082133240429400,2659127685091800,2112275532190800
199,3172252346355400,1781098466253200,2200015684755800,1850612226564000,5892674841041400,2082133240429400,2657170873232600,1867054021115600
200,3172252346355400,1729165522327800,2200015684755800,1850612226564000,5889311453590000,2082133240429400,2657170873232600,1867054021115600
201,3172252346355400,1729165522327800,2200015684755800,1850612226564000,5429447907262200,2054166935977400,2647461547588000,1867054021115600
