Generation Number,Lineage 0 (Wx - fitness points),Lineage 1 (Wx - fitness points),Lineage 2 (Wx - fitness points),Lineage 3 (Wx - fitness points),Lineage 4 (Wx - fitness points),Lineage 5 (Wx - fitness points),Lineage 6 (Wx - fitness points),Lineage 7 (Wx - fitness points)
743,11112346555556371700130610,1777778997524528310,333335353109452210,444445681915567310,444445319025998910,555557903381164410,2111111791603705210,333334217473808510
744,11112346555556371678622610,1777778994905863510,333335351937234210,444445681915567310,444445319025998910,555557916863523610,2111111790595959210,333334217473808510
745,11112346555556371569006610,1777778994905863510,333335351937234210,444445679442676310,444445305578125710,555557903286871310,2111111790595959210,333334217473808510
746,11112346555556370109598610,1777778994905863510,333335351937234210,444445679442676310,444445304031961110,555557903286871310,2111111789088828210,333334217473808510
747,11112346555556370109598610,1777778994905863510,333335351937234210,444445679190251510,444445303659815910,555557901496099010,2111111789088828210,333334216249396510
748,11112346555556369301263210,1777778994879449410,333335353258060910,444445679190251510,444445303486205410,555557901496099010,2111111788052334210,333334216249396510
749,11112346555556369301263210,1777778994879449410,333335344857868710,444445679190251510,444445303327423110,555557901496099010,2111111788052334210,333334216249396510
750,11112346555556369301263210,1777778986087250110,333335344188305310,444445678173659010,444445303327423110,555557901496099010,2111111788113380510,333334214945387510
751,11112346555556369301263210,1777778985725453310,333335341751541010,444445678173659010,444445303327423110,555557901496099010,2111111787220221810,333334214630578910
752,11112346555556369171420510,1777778983365759810,333335341751541010,444445676884529510,444445303758342010,555557901055892110,2111111785825219810,333334214630578910
753,11112346555556369171420510,1777778983365759810,333335341614701910,444445675503661510,444445302590621310,555557901055892110,2111111785825219810,333334213808486710
754,11112346555556369171420510,1777778983365759810,333335341707527910,444445675271233710,444445302590621310,555557901055892110,2111111785825219810,333334213808486710
755,11112346555556369171420510,1777778983365759810,333335341531960610,444445675080906710,444445302332672410,555557889006592810,2111111785721483310,333334213762062510
756,11112346555556369323757510,1777778983199163810,333335341531960610,444445675080906710,444445302332672410,555557889006592810,2111111785721483310,333334213760152410
757,11112346555556359422832910,1777778983199163810,333335341531960610,444445673634656310,444445302332672410,555557889006592810,2111111785721483310,333334213760152410
758,11112346555556359314843910,1777778983199163810,333335341531960610,444445673520106810,444445301468396310,555557887812583810,2111111785721483310,333334212498129210
759,11112346555556359314843910,1777778983199163810,333335340729177110,444445672198196210,444445301468396310,555557887812583810,2111111785721483310,333334212498129210
760,11112346555556359459091210,1777778983199163810,333335340729177110,444445671102541110,444445303752587310,555557875670397910,2111111782153785310,333334202447916010
761,11112346555556357783513210,1777778983199163810,333335340729177110,444445671102541110,444445293559294010,555557875670397910,2111111782153785310,333334202447916010
762,11112346555556358931144210,1777778983108629710,333335340729177110,444445671102541110,444445292381980210,555557875670397910,2111111782153785310,333334202831151010
763,11112346555556356851941810,1777778981009149610,333335339082838510,444445671102541110,444445292381980210,555557875670397910,2111111782153785310,333334201907563610
764,11112346555556356553553310,1777778981397551610,333335339082838510,444445671810635410,444445290424984210,555557873577320310,2111111782153785310,333334201907563610
765,11112346555556355417547910,1777778979778745010,333335339082838510,444445670858286610,444445290424984210,555557872266044910,2111111781393027210,333334201907563610
766,11112346555556355417547910,1777778979778745010,333335335747798310,444445669708662210,444445288481438110,555557870969348910,2111111770180511210,333334201907563610
767,11112346555556341012968210,1777778968659123010,333335335747798310,444445669708662210,444445286198848110,555557870948707910,2111111770180511210,333334201694201910
768,11112346555556331746334410,1777778968659123010,333335335747798310,444445669708662210,444445286198848110,555557860604197610,2111111770567696410,333334201520417710
769,11112346555556331746334410,1777778968659123010,333335334330744910,444445669708662210,444445286198848110,555557860604197610,2000000661721543610,333334200454208710
770,11112346555556331746334410,1777778968558390610,333335334330744910,444445669708662210,444445286198848110,555557857134010410,2000000661721543610,333334200454208710
771,11112346555556331746334410,1777778968558390610,333335334330744910,444445669708662210,444445286198848110,555557857134010410,2000000661721543610,333334200454208710
772,11112346555556331746334410,1777778966450790410,333335334330744910,444445667401182010,444445286198848110,555557857134010410,2000000661721543610,333334200137163110
773,11112346555556329449793510,1777778966450790410,333335334069928410,444445667261869010,444445286198848110,555557857134010410,2000000661721543610,333334200137163110
774,11112346555556329449793510,1777778965148723610,333335333216290110,444445667261869010,444445285598525510,555557857134010410,2000000661721543610,333334200137163110
775,11112346555556329449793510,1777778964591282310,333335333216290110,444445667261869010,444445284428645010,555557857134010410,2000000661247091310,333334200137163110
776,11112346555556325942577810,1777778963262287510,333335333216290110,444445667198916110,444445284428645010,555557857134010410,2000000661119925110,333334198970332810
777,11112346555556325942577810,1777778962193531910,333335333216290110,444445667198916110,444445284428645010,555557857134010410,2000000661119925110,333334198970332810
778,11112346555556324289007910,1777778962193531910,333335333216290110,444445667519923510,444445284428645010,555557866960043910,2000000661119925110,333334198970332810
