Strand-530	Strand-Sequence-530
Strand-531	Strand-Sequence-531
Strand-532	Strand-Sequence-532
Strand-533	Strand-Sequence-533
Strand-534	Strand-Sequence-534
Strand-535	Strand-Sequence-535
Strand-536	Strand-Sequence-536
Strand-537	Strand-Sequence-537
Strand-538	Strand-Sequence-538
Strand-539	Strand-Sequence-539
Strand-540	Strand-Sequence-540
Strand-541	Strand-Sequence-541
Strand-542	Strand-Sequence-542
Strand-543	Strand-Sequence-543
Strand-544	Strand-Sequence-544
Strand-545	Strand-Sequence-545
Strand-546	Strand-Sequence-546
Strand-547	Strand-Sequence-547
Strand-548	Strand-Sequence-548
Strand-549	Strand-Sequence-549
Strand-550	Strand-Sequence-550
Strand-551	Strand-Sequence-551
Strand-552	Strand-Sequence-552
Strand-553	Strand-Sequence-553
Strand-554	Strand-Sequence-554
Strand-555	Strand-Sequence-555
Strand-556	Strand-Sequence-556
Strand-557	Strand-Sequence-557
Strand-558	Strand-Sequence-558
Strand-559	Strand-Sequence-559
Strand-560	Strand-Sequence-560
Strand-561	Strand-Sequence-561
Strand-562	Strand-Sequence-562
Strand-563	Strand-Sequence-563
Strand-564	Strand-Sequence-564
Strand-565	Strand-Sequence-565
Strand-566	Strand-Sequence-566
Strand-567	Strand-Sequence-567
Strand-568	Strand-Sequence-568
Strand-569	Strand-Sequence-569
Strand-570	Strand-Sequence-570
Strand-571	Strand-Sequence-571
Strand-572	Strand-Sequence-572
Strand-573	Strand-Sequence-573
Strand-574	Strand-Sequence-574
Strand-575	Strand-Sequence-575
Strand-576	Strand-Sequence-576
Strand-577	Strand-Sequence-577
Strand-578	Strand-Sequence-578
Strand-579	Strand-Sequence-579
Strand-580	Strand-Sequence-580
Strand-581	Strand-Sequence-581
Strand-582	Strand-Sequence-582
Strand-583	Strand-Sequence-583
Strand-584	Strand-Sequence-584
Strand-585	Strand-Sequence-585
Strand-586	Strand-Sequence-586
Strand-587	Strand-Sequence-587
Strand-588	Strand-Sequence-588
Strand-589	Strand-Sequence-589
Strand-590	Strand-Sequence-590
Strand-591	Strand-Sequence-591
Strand-592	Strand-Sequence-592
Strand-593	Strand-Sequence-593
Strand-594	Strand-Sequence-594
Strand-595	Strand-Sequence-595
Strand-596	Strand-Sequence-596
Strand-597	Strand-Sequence-597
Strand-598	Strand-Sequence-598
Strand-599	Strand-Sequence-599
Strand-600	Strand-Sequence-600
Strand-601	Strand-Sequence-601
Strand-602	Strand-Sequence-602
Strand-603	Strand-Sequence-603
Strand-604	Strand-Sequence-604
Comp-Strand-1	c.Strand-Sequence-001
Comp-Strand-2	c.Strand-Sequence-002
Comp-Strand-3	c.Strand-Sequence-003
Comp-Strand-4	c.Strand-Sequence-004
Comp-Strand-5	c.Strand-Sequence-005
Comp-Strand-6	c.Strand-Sequence-006
Comp-Strand-7	c.Strand-Sequence-007
Comp-Strand-8	c.Strand-Sequence-008
Comp-Strand-9	c.Strand-Sequence-009
Comp-Strand-10	c.Strand-Sequence-010
Comp-Strand-11	c.Strand-Sequence-011
Comp-Strand-12	c.Strand-Sequence-012
Comp-Strand-13	c.Strand-Sequence-013
Comp-Strand-14	c.Strand-Sequence-014
Comp-Strand-15	c.Strand-Sequence-015
Comp-Strand-16	c.Strand-Sequence-016
Comp-Strand-17	c.Strand-Sequence-017
Comp-Strand-18	c.Strand-Sequence-018
Comp-Strand-19	c.Strand-Sequence-019
Comp-Strand-20	c.Strand-Sequence-020
Comp-Strand-21	c.Strand-Sequence-021
Comp-Strand-22	c.Strand-Sequence-022
Comp-Strand-23	c.Strand-Sequence-023
Comp-Strand-24	c.Strand-Sequence-024
Comp-Strand-25	c.Strand-Sequence-025
Comp-Strand-26	c.Strand-Sequence-026
Comp-Strand-27	c.Strand-Sequence-027
Comp-Strand-28	c.Strand-Sequence-028
Comp-Strand-29	c.Strand-Sequence-029
Comp-Strand-30	c.Strand-Sequence-030
Comp-Strand-31	c.Strand-Sequence-031
Comp-Strand-32	c.Strand-Sequence-032
Comp-Strand-33	c.Strand-Sequence-033
Comp-Strand-34	c.Strand-Sequence-034
Comp-Strand-35	c.Strand-Sequence-035
Comp-Strand-36	c.Strand-Sequence-036
Comp-Strand-37	c.Strand-Sequence-037
Comp-Strand-38	c.Strand-Sequence-038
Comp-Strand-39	c.Strand-Sequence-039
Comp-Strand-40	c.Strand-Sequence-040
Comp-Strand-41	c.Strand-Sequence-041
Comp-Strand-42	c.Strand-Sequence-042
Comp-Strand-43	c.Strand-Sequence-043
Comp-Strand-44	c.Strand-Sequence-044
Comp-Strand-45	c.Strand-Sequence-045
Comp-Strand-46	c.Strand-Sequence-046
Comp-Strand-47	c.Strand-Sequence-047
Comp-Strand-48	c.Strand-Sequence-048
Comp-Strand-49	c.Strand-Sequence-049
Comp-Strand-50	c.Strand-Sequence-050
Comp-Strand-51	c.Strand-Sequence-051
Comp-Strand-52	c.Strand-Sequence-052
Comp-Strand-53	c.Strand-Sequence-053
Comp-Strand-54	c.Strand-Sequence-054
Comp-Strand-55	c.Strand-Sequence-055
Comp-Strand-56	c.Strand-Sequence-056
Comp-Strand-57	c.Strand-Sequence-057
Comp-Strand-58	c.Strand-Sequence-058
Comp-Strand-59	c.Strand-Sequence-059
Comp-Strand-60	c.Strand-Sequence-060
Comp-Strand-61	c.Strand-Sequence-061
Comp-Strand-62	c.Strand-Sequence-062
Comp-Strand-63	c.Strand-Sequence-063
Comp-Strand-64	c.Strand-Sequence-064
Comp-Strand-65	c.Strand-Sequence-065
Comp-Strand-66	c.Strand-Sequence-066
Comp-Strand-67	c.Strand-Sequence-067
Comp-Strand-68	c.Strand-Sequence-068
Comp-Strand-69	c.Strand-Sequence-069
Comp-Strand-70	c.Strand-Sequence-070
Comp-Strand-71	c.Strand-Sequence-071
Comp-Strand-72	c.Strand-Sequence-072
Comp-Strand-73	c.Strand-Sequence-073
Comp-Strand-74	c.Strand-Sequence-074
Comp-Strand-75	c.Strand-Sequence-075
Comp-Strand-76	c.Strand-Sequence-076
Comp-Strand-77	c.Strand-Sequence-077
Comp-Strand-78	c.Strand-Sequence-078
Comp-Strand-79	c.Strand-Sequence-079
Comp-Strand-80	c.Strand-Sequence-080
Comp-Strand-81	c.Strand-Sequence-081
Comp-Strand-82	c.Strand-Sequence-082
Comp-Strand-83	c.Strand-Sequence-083
Comp-Strand-84	c.Strand-Sequence-084
Comp-Strand-85	c.Strand-Sequence-085
Comp-Strand-86	c.Strand-Sequence-086
Comp-Strand-87	c.Strand-Sequence-087
Comp-Strand-88	c.Strand-Sequence-088
Comp-Strand-89	c.Strand-Sequence-089
Comp-Strand-90	c.Strand-Sequence-090
Comp-Strand-91	c.Strand-Sequence-091
Comp-Strand-92	c.Strand-Sequence-092
Comp-Strand-93	c.Strand-Sequence-093
Comp-Strand-94	c.Strand-Sequence-094
Comp-Strand-95	c.Strand-Sequence-095
Comp-Strand-96	c.Strand-Sequence-096
Comp-Strand-97	c.Strand-Sequence-097
Comp-Strand-98	c.Strand-Sequence-098
Comp-Strand-99	c.Strand-Sequence-099
Comp-Strand-100	c.Strand-Sequence-100
Comp-Strand-101	c.Strand-Sequence-101
Comp-Strand-102	c.Strand-Sequence-102
Comp-Strand-103	c.Strand-Sequence-103
Comp-Strand-104	c.Strand-Sequence-104
Comp-Strand-105	c.Strand-Sequence-105
Comp-Strand-106	c.Strand-Sequence-106
Comp-Strand-107	c.Strand-Sequence-107
Comp-Strand-108	c.Strand-Sequence-108
Comp-Strand-109	c.Strand-Sequence-109
Comp-Strand-110	c.Strand-Sequence-110
Comp-Strand-111	c.Strand-Sequence-111
Comp-Strand-112	c.Strand-Sequence-112
Comp-Strand-113	c.Strand-Sequence-113
Comp-Strand-114	c.Strand-Sequence-114
Comp-Strand-115	c.Strand-Sequence-115
Comp-Strand-116	c.Strand-Sequence-116
Comp-Strand-117	c.Strand-Sequence-117
Comp-Strand-118	c.Strand-Sequence-118
Comp-Strand-119	c.Strand-Sequence-119
Comp-Strand-120	c.Strand-Sequence-120
Comp-Strand-121	c.Strand-Sequence-121
Comp-Strand-122	c.Strand-Sequence-122
Comp-Strand-123	c.Strand-Sequence-123
Comp-Strand-124	c.Strand-Sequence-124
Comp-Strand-125	c.Strand-Sequence-125
Comp-Strand-126	c.Strand-Sequence-126
Comp-Strand-127	c.Strand-Sequence-127
Comp-Strand-128	c.Strand-Sequence-128
Comp-Strand-129	c.Strand-Sequence-129
Comp-Strand-130	c.Strand-Sequence-130
Comp-Strand-131	c.Strand-Sequence-131
Comp-Strand-132	c.Strand-Sequence-132
Comp-Strand-133	c.Strand-Sequence-133
Comp-Strand-134	c.Strand-Sequence-134
Comp-Strand-135	c.Strand-Sequence-135
Comp-Strand-136	c.Strand-Sequence-136
Comp-Strand-137	c.Strand-Sequence-137
Comp-Strand-138	c.Strand-Sequence-138
Comp-Strand-139	c.Strand-Sequence-139
Comp-Strand-140	c.Strand-Sequence-140
Comp-Strand-141	c.Strand-Sequence-141
Comp-Strand-142	c.Strand-Sequence-142
Comp-Strand-143	c.Strand-Sequence-143
Comp-Strand-144	c.Strand-Sequence-144
Comp-Strand-145	c.Strand-Sequence-145
Comp-Strand-146	c.Strand-Sequence-146
Comp-Strand-147	c.Strand-Sequence-147
Comp-Strand-148	c.Strand-Sequence-148
Comp-Strand-149	c.Strand-Sequence-149
Comp-Strand-150	c.Strand-Sequence-150
Comp-Strand-151	c.Strand-Sequence-151
Comp-Strand-152	c.Strand-Sequence-152
Comp-Strand-153	c.Strand-Sequence-153
Comp-Strand-154	c.Strand-Sequence-154
Comp-Strand-155	c.Strand-Sequence-155
Comp-Strand-156	c.Strand-Sequence-156
Comp-Strand-157	c.Strand-Sequence-157
Comp-Strand-158	c.Strand-Sequence-158
Comp-Strand-159	c.Strand-Sequence-159
Comp-Strand-160	c.Strand-Sequence-160
Comp-Strand-161	c.Strand-Sequence-161
Comp-Strand-162	c.Strand-Sequence-162
